,Price,Kilometres,Year,Age of Car
327,149500,55200,2017.0,7.0
328,38888,40657,2016.0,8.0
329,11999,172149,2009.0,15.0
330,20999,141048,2013.0,11.0
331,41999,27980,2020.0,4.0
332,74990,53455,2018.0,6.0
333,38888,61480,2017.0,7.0
334,41950,103772,2015.0,9.0
335,22950,172895,2010.0,14.0
336,31932,105030,2015.0,9.0
337,50985,88459,2015.0,9.0
338,29800,134654,2015.0,9.0
339,9990,215707,2008.0,16.0
340,122950,1755,2023.0,1.0
341,102990,27843,2021.0,3.0
342,34990,39348,2017.0,7.0
343,21984,124470,2013.0,11.0
344,79888,2100,2022.0,2.0
345,19990,45000,2013.0,11.0
346,88250,2088,2023.0,1.0
347,62788,2088,2023.0,1.0
348,37999,79505,2017.0,7.0
349,37800,39507,2018.0,6.0
350,19950,64111,2013.0,11.0
351,164889,47750,2020.0,4.0
352,21980,132988,2013.0,11.0
353,286688,2088,2023.0,1.0
354,69788,2001,2023.0,1.0
355,3990,203121,2001.0,23.0
356,49990,20,2023.0,1.0
357,10888,166218,2011.0,13.0
358,36990,34318,2019.0,5.0
359,31950,96634,2013.0,11.0
360,41830,87663,2017.0,7.0
361,22995,135486,2014.0,10.0
362,8999,199306,2008.0,16.0
363,16999,148512,2011.0,13.0
364,33992,98261,2017.0,7.0
365,77888,2009,2023.0,1.0
366,43490,68954,2018.0,6.0
367,24990,106224,2015.0,9.0
368,59999,40225,2017.0,7.0
369,38990,168221,2016.0,8.0
370,30880,34921,2018.0,6.0
371,47880,5709,2022.0,2.0
372,30660,99945,2011.0,13.0
373,36990,34958,2018.0,6.0
374,30441,80611,2019.0,5.0
375,66880,22948,2020.0,4.0
376,64800,33323,2021.0,3.0
377,22800,40260,2013.0,11.0
378,49800,40772,2019.0,5.0
379,16995,163107,2008.0,16.0
380,69900,29146,2019.0,5.0
381,28990,117441,2013.0,11.0
382,73990,37605,2021.0,3.0
383,17880,160861,2013.0,11.0
384,32897,75278,2018.0,6.0
385,99900,12320,2022.0,2.0
386,39990,51350,2018.0,6.0
387,59888,37714,2018.0,6.0
388,34705,131161,2016.0,8.0
389,19995,115482,2016.0,8.0
390,24888,94700,2014.0,10.0
391,28800,92657,2017.0,7.0
392,78000,- / -,2023.0,1.0
393,135100,- / -,2023.0,1.0
394,54990,2348,2022.0,2.0
395,143400,- / -,2023.0,1.0
396,40990,61025,2021.0,3.0
397,37990,21748,2019.0,5.0
398,37990,116997,2017.0,7.0
399,19999,171806,2014.0,10.0
400,117688,5798,2022.0,2.0
401,44900,102671,2018.0,6.0
402,27990,52180,2016.0,8.0
403,32480,22856,2021.0,3.0
404,29999,106223,2013.0,11.0
405,19990,85738,2014.0,10.0
406,11840,172080,2006.0,18.0
407,69788,2088,2023.0,1.0
408,22990,109666,2016.0,8.0
409,87850,1178,2023.0,1.0
410,24995,105363,2016.0,8.0
411,58800,41752,2018.0,6.0
412,17800,158053,2010.0,14.0
413,29830,145023,2015.0,9.0
414,38990,74198,2016.0,8.0
415,89990,2164,2022.0,2.0
416,266990,3050,2022.0,2.0
417,13995,198961,2009.0,15.0
418,172300,39200,2013.0,11.0
419,209990,23431,2020.0,4.0
420,18988,88821,2010.0,14.0
421,17290,65901,2012.0,12.0
