VehicleID,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
122,Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,DEMO,Automatic,1.4,Front,Premium,7.3,5100,Grey / Black,"Artarmon, NSW",4.0,SUV,4,5,60888
124,Audi,2022,Q3,2022 Audi Q3 35 Tfsi,USED,Automatic,1.4,Front,Premium,7.2,20,Black / Black,"Pennant Hills, NSW",4.0,SUV,4,5,61990
125,Audi,2022,Q2,2022 Audi Q2 35 Tfsi,USED,Automatic,1.5,Front,Premium,5.2,3191,Silver / Black,"Zetland, NSW",4.0,SUV,4,5,48880
126,Audi,2021,SQ7,2021 Audi SQ7 TDI V8 Quattro Mhev,USED,Automatic,4.0,AWD,Hybrid,7.6,34412,Black / Red,"Blacktown, NSW",8.0,SUV,4,7,158880
129,Audi,2019,A3,2019 Audi A3 35 Tfsi (1.4 Tfsi),USED,Automatic,1.4,Front,Premium,5.1,56016,White / Black,"Zetland, NSW",4.0,Convertible,2,4,39880
130,Audi,2014,RS,2014 Audi RS Q3 2.5 Tfsi Quattro,USED,Automatic,2.5,AWD,Premium,8.8,25342,Orange / Black,"Ashmore, QLD",5.0,SUV,4,5,47990
131,Audi,2011,Q7,2011 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,7.8,157000,Silver / Black,"Minchinbury, NSW",6.0,SUV,4,7,26995
133,Audi,2007,Q7,2007 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,10.5,227358,Blue / Black,"Molendinar, QLD",6.0,SUV,4,5,12990
135,Audi,2015,A6,2015 Audi A6 1.8 Tfsi,USED,Automatic,1.8,Front,Premium,5.7,148222,White / Black,"Phillip, ACT",4.0,Sedan,4,5,24990
136,Audi,2018,S3,2018 Audi S3 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.5,100000,Grey / Black,"Port Melbourne, VIC",4.0,Sedan,4,5,45990
137,Audi,2019,SQ5,2019 Audi SQ5 3.0 Tfsi Quattro Black Edition,USED,Automatic,3.0,AWD,Premium,8.7,64490,Grey / Black,"South Melbourne, VIC",6.0,SUV,4,5,76990
140,Audi,2021,S3,2021 Audi S3 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.3,6301,Grey / Black,"Smeaton Grange, NSW",4.0,Sedan,4,5,69880
141,Audi,2022,A3,2022 Audi A3 40 Tfsi Quattro S Line,USED,Automatic,2.0,AWD,Premium,6.6,8401,Red / Black,"Zetland, NSW",4.0,Sedan,4,5,53880
142,Audi,2019,A3,2019 Audi A3 40 Tfsi Quattro S Line Plus,USED,Automatic,2.0,AWD,Premium,6.1,79995,Grey / Black,"Pennant Hills, NSW",4.0,Sedan,4,5,41800
147,Audi,2016,A4,2016 Audi A4 2.0 Tfsi Quattro S Tronic SPT,USED,Automatic,2.0,AWD,Premium,6.3,120150,Silver / Black,"Maryville, NSW",4.0,Sedan,4,5,26990
149,Audi,2016,Q5,2016 Audi Q5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.9,48622,Silver / Black,"Maddington, WA",4.0,SUV,4,5,39898
150,Audi,2022,A1,2022 Audi A1 35 Tfsi,USED,Automatic,1.5,Front,Premium,5.8,28856,Silver / Leather,"Epping, VIC",4.0,Hatchback,5,5,42705
151,Audi,2018,A3,2018 Audi A3 35 Tfsi Sprtbck (1.4 Tfsi Cod),USED,Automatic,1.4,Front,Premium,5.0,22404,Silver / Black,"Chatswood, NSW",4.0,Other,4,5,32800
152,Audi,2004,A3,2004 Audi A3 1.6 Attraction,USED,Manual,1.6,Front,Premium,6.7,138000,Grey / Grey,"Minchinbury, NSW",4.0,Hatchback,3,5,6995
154,Audi,2023,Q5,2023 Audi Q5 40 TDI Quattro Sport Mhev,DEMO,Automatic,2.0,AWD,Hybrid,5.4,28,Silver / Black,"Hobart, TAS",4.0,SUV,4,5,88990
155,Audi,2020,Q3,2020 Audi Q3 40 Tfsi Quattro S Line,USED,Automatic,2.0,AWD,Premium,8.3,25000,White / Black Leather,"Springwood, QLD",4.0,SUV,4,5,65990
156,Audi,2018,Q7,2018 Audi Q7 3.0 TDI Quattro (160KW),USED,Automatic,3.0,AWD,Diesel,5.9,156322,Silver / Black,"Southport, QLD",6.0,SUV,4,7,48990
157,Audi,2021,SQ5,2021 Audi SQ5 3.0 TDI Quattro Mhev Spec Edtn,USED,Automatic,3.0,AWD,Diesel,6.8,46717,Blue / Black,"Zetland, NSW",6.0,SUV,4,5,87880
158,Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,DEMO,Automatic,1.5,Front,Premium,4.9,4100,Silver / Black,"Southport, QLD",4.0,Sedan,4,5,50990
159,Audi,2013,A3,2013 Audi A3 Sportback 2.0 TDI Ambition,USED,Automatic,2.0,Front,Diesel,5.3,120413,White / Black,"Ringwood, VIC",4.0,Hatchback,5,5,19950
162,Audi,2015,Q3,2015 Audi Q3 2.0 Tfsi Quattro (125KW),USED,Automatic,2.0,AWD,Premium,7.7,153500,Black / Black,"Mount Druitt, NSW",4.0,SUV,4,5,19990
163,Audi,2021,Q5,2021 Audi Q5 45 Tfsi Quattro Mhev,USED,Automatic,2.0,AWD,Hybrid,8.0,69304,White / Black,"Kirrawee, NSW",4.0,SUV,4,5,70490
165,Audi,2018,Q5,2018 Audi Q5 2.0 TDI Quattro Sport,USED,Automatic,2.0,AWD,Diesel,5.5,70572,Silver / Black,"Zetland, NSW",4.0,SUV,4,5,45880
166,Audi,2007,A4,2007 Audi A4 2.0 Tfsi,USED,Automatic,2.0,Front,Premium,8.3,168901,Silver / Black,"Petersham, NSW",4.0,Sedan,4,5,7950
167,Audi,2017,Q5,2017 Audi Q5 2.0 Tfsi Quattro Sport,USED,Automatic,2.0,AWD,Premium,7.3,28491,Black / Black,"Geelong, VIC",4.0,SUV,4,5,59900
170,Audi,2015,A6,2015 Audi A6 1.8 Tfsi,USED,Automatic,1.8,Front,Premium,5.7,129100,Blue / Black,"Hamilton, NSW",4.0,Sedan,4,5,25990
171,Audi,2022,Q2,2022 Audi Q2 35 Tfsi,DEMO,Automatic,1.5,Front,Premium,5.2,1500,Silver / Black,"Melbourne, VIC",4.0,SUV,4,5,58900
172,Audi,2022,Q3,2022 Audi Q3 35 Tfsi,DEMO,Automatic,1.4,Front,Premium,7.2,2314,Black / Black,"Southport, QLD",4.0,SUV,4,5,59990
173,Audi,2020,Q3,2020 Audi Q3 35 Tfsi,USED,Automatic,1.4,Front,Premium,7.2,24969,Grey / Black,"Zetland, NSW",4.0,SUV,4,5,50880
174,Audi,2016,A1,2016 Audi A1 Sportback 1.4 Tfsi Sport,USED,Automatic,1.4,Front,Premium,4.9,51333,Grey / Grey,"Blacktown, NSW",4.0,Hatchback,5,5,17990
175,Audi,2016,Q3,2016 Audi Q3 2.0 TDI Quattro (110KW),USED,Automatic,2.0,AWD,Diesel,5.2,166363,Black / Black,"Seaford, VIC",4.0,SUV,4,5,21999
176,Audi,2018,RS4,2018 Audi RS4 Avant Quattro,USED,Automatic,2.9,AWD,Premium,8.9,35615,Blue / Black Leather,"Chatswood, NSW",6.0,Wagon,4,5,104800
177,Audi,2023,SQ5,2023 Audi SQ5 3.0 TDI Quattro Mhev,DEMO,Automatic,3.0,AWD,Hybrid,7.0,1002,White / Black,"Wollongong, NSW",6.0,SUV,4,5,129990
178,Audi,2021,Q5,2021 Audi Q5 40 TDI Quattro Mhev,USED,Automatic,2.0,AWD,Hybrid,5.4,56184,Blue / Black,"Liverpool, NSW",4.0,SUV,4,5,56888
179,Audi,2015,A5,2015 Audi A5 Sportback 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.0,59183,Black / Black,"Toowoomba City, QLD",4.0,Hatchback,5,4,39999
181,Audi,2020,Q3,2020 Audi Q3 40 Tfsi Quattro S Line,USED,Automatic,2.0,AWD,Premium,8.3,34996,Grey / Black,"Chatswood, NSW",4.0,SUV,4,5,59880
183,Audi,2023,Q5,2023 Audi Q5 40 TDI Quattro Sport Mhev,DEMO,Automatic,2.0,AWD,Hybrid,5.4,2992,Blue / Black/Pale Grey/Black Leather,"Mornington, VIC",4.0,SUV,4,5,87490
184,Audi,2022,A4,2022 Audi A4 35 Tfsi S Line Mhev,USED,Automatic,2.0,Front,Premium,6.1,9800,White / Black,"Zetland, NSW",4.0,Sedan,4,5,56880
185,Audi,2021,Q3,2021 Audi Q3 35 Tfsi,USED,Automatic,1.4,Front,Premium,7.2,9819,Blue / Black,"Jamisontown, NSW",4.0,SUV,4,5,51990
187,Audi,2023,A1,2023 Audi A1 35 Tfsi,DEMO,Automatic,1.5,Front,Premium,5.8,1395,Red / Silver And Black Silk Nappa,"Mornington, VIC",4.0,Hatchback,5,5,54990
