,Brand,Model,Year,UsedOrNew
76,Subaru,XV,2016,USED
77,Mini,Cooper,2017,USED
78,Peugeot,308,2015,USED
79,Holden,Commodore,2010,USED
80,Hyundai,I20,2015,USED
81,Mazda,BT-50,2018,USED
82,Mazda,3,2009,USED
83,Hyundai,I20,2011,USED
84,Honda,Vezel,2015,USED
85,Mazda,CX-7,2010,USED
86,Jeep,Renegade,2017,USED
87,Mazda,6,2013,USED
88,Nissan,Elgrand,2009,USED
89,Kia,Grand,2013,USED
90,Mitsubishi,Lancer,2015,USED
91,Subaru,Impreza,2018,USED
92,Mazda,3,2014,USED
93,BMW,X4,2021,USED
94,Mazda,CX-7,,USED
95,Audi,A5,2015,USED
96,BMW,118I,2014,USED
97,Mercedes-Benz,C-CLASS,2012,USED
98,Toyota,HiAce,2013,USED
99,Subaru,Impreza,2007,USED
100,Audi,Q7,2014,USED
101,Suzuki,Celerio,2015,USED
102,Subaru,Liberty,2016,USED
103,Toyota,C-HR,2019,USED
104,Subaru,Forester,2021,USED
105,Mazda,CX-3,2015,USED
106,Jeep,Grand,2018,USED
107,Hyundai,I30,2018,USED
108,Nissan,X-Trail,2020,USED
109,Honda,City,2010,USED
110,Honda,CR-V,2020,USED
111,Holden,Cruze,2014,USED
112,Jeep,Grand,2013,USED
113,Toyota,RAV4,2007,USED
114,Holden,Commodore,2016,USED
115,Mercedes-Benz,CLC200,2010,USED
116,Dodge,Journey,2012,USED
117,Mazda,6,2013,USED
118,Volkswagen,Caddy,2018,USED
119,Honda,Civic,2013,USED
120,Jeep,Compass,2021,USED
121,Toyota,HiAce,2008,USED
122,Mazda,CX-9,2014,USED
123,Toyota,Yaris,2010,USED
124,Jeep,Grand,2014,USED
125,Mazda,3,2009,USED
126,Ford,Ranger,2016,USED
127,Holden,Captiva,2011,USED
128,Toyota,86,2013,USED
129,Volkswagen,Golf,2013,USED
130,Mitsubishi,Lancer,2013,USED
131,Toyota,Camry,2009,USED
132,Hyundai,I20,2013,USED
133,Mitsubishi,Lancer,2014,USED
134,Mazda,2,2018,USED
135,Mazda,3,2009,USED
136,Mitsubishi,Triton,2014,USED
137,Volkswagen,Golf,2014,USED
138,BMW,M135I,2012,USED
139,Holden,Commodore,2015,USED
140,Volkswagen,Golf,2008,USED
141,Holden,Cruze,2014,USED
142,Hyundai,Imax,2018,USED
143,Mitsubishi,Triton,2013,USED
144,BMW,330I,2021,USED
145,Volkswagen,Golf,2018,USED
146,Audi,Q3,2019,USED
147,Nissan,Elgrand,2005,USED
148,Toyota,Estima,2009,USED
149,Subaru,Outback,2016,USED
150,Mazda,6,2007,USED
151,Hyundai,Accent,2015,USED
152,Land,Rover,2013,USED
153,Mercedes-Benz,B-Class,2014,USED
154,Ford,Focus,2013,USED
155,Kia,Sportage,2017,USED
156,Porsche,Cayenne,2010,USED
157,Porsche,Cayman,2016,USED
158,Ford,Territory,2007,USED
159,Suzuki,Swift,2017,USED
160,Nissan,Navara,2016,USED
161,Toyota,Estima,,USED
162,Daihatsu,Hijet,2019,USED
163,Toyota,RAV4,2013,USED
164,Toyota,Hilux,2008,USED
165,Mazda,3,2014,USED
166,Hyundai,Venue,2021,USED
167,BMW,X1,2015,USED
168,BMW,330I,,USED
169,Mazda,6,,USED
170,Hyundai,Veloster,2013,USED
171,Toyota,Camry,2017,USED
172,Mitsubishi,Lancer,2011,USED
173,BMW,M4,2020,USED
174,Suzuki,Swift,2011,USED
175,Ford,Transit,2008,USED
176,Toyota,Estima,,USED
177,Peugeot,308,2017,USED
178,Holden,Trax,2017,USED
179,Mitsubishi,Triton,2015,USED
180,Subaru,Forester,2013,USED
