,Model,Brand,DriveType,BodyType
231,A3,Audi,Front,Convertible
232,A5,Audi,AWD,Hatchback
233,A1,Audi,Front,Hatchback
234,A1,Audi,Front,Hatchback
235,Q5,Audi,AWD,SUV
236,Q3,Audi,Front,SUV
237,Q3,Audi,AWD,SUV
238,Q5,Audi,AWD,SUV
239,A4,Audi,AWD,Sedan
240,RS3,Audi,AWD,Hatchback
241,SQ5,Audi,AWD,SUV
242,S4,Audi,Other,Convertible
243,Q2,Audi,Front,SUV
244,A3,Audi,Front,Sedan
245,Q7,Audi,AWD,SUV
246,TT,Audi,AWD,Coupe
247,Q7,Audi,AWD,SUV
248,A3,Audi,Front,Hatchback
249,S3,Audi,AWD,Sedan
250,SQ5,Audi,AWD,SUV
251,Q2,Audi,Front,SUV
252,Q5,Audi,AWD,SUV
253,TT,Audi,AWD,Coupe
254,A3,Audi,Front,Hatchback
255,Q5,Audi,AWD,SUV
256,A4,Audi,AWD,Sedan
257,A4,Audi,Front,Sedan
258,Q5,Audi,AWD,SUV
259,Q7,Audi,AWD,SUV
260,A6,Audi,AWD,Sedan
261,Q7,Audi,AWD,SUV
262,A3,Audi,Front,Sedan
263,TT,Audi,AWD,Convertible
264,Q8,Audi,AWD,SUV
265,A3,Audi,Front,Sedan
266,Q3,Audi,AWD,SUV
267,Q2,Audi,AWD,Wagon
268,A4,Audi,Front,Wagon
269,Q7,Audi,AWD,SUV
270,A3,Audi,Front,Convertible
271,A5,Audi,AWD,Other
272,A5,Audi,AWD,Coupe
273,RS,Audi,AWD,SUV
274,Q7,Audi,AWD,SUV
275,Q5,Audi,AWD,SUV
276,Q3,Audi,Front,SUV
277,Q2,Audi,AWD,SUV
278,Q5,Audi,AWD,SUV
279,A3,Audi,Front,Other
280,A4,Audi,AWD,Sedan
281,Q5,Audi,Other,Wagon
282,A1,Audi,Front,Hatchback
283,A3,Audi,Front,Hatchback
284,Q7,Audi,AWD,SUV
285,R8,Audi,AWD,Coupe
286,A4,Audi,AWD,Sedan
287,SQ7,Audi,AWD,SUV
288,A6,Audi,Front,Sedan
289,SQ2,Audi,AWD,SUV
290,Q2,Audi,Front,SUV
291,Q5,Audi,AWD,SUV
292,Q7,Audi,AWD,SUV
293,Q5,Audi,AWD,SUV
294,Q3,Audi,Front,SUV
295,A5,Audi,AWD,Convertible
296,Q5,Audi,AWD,SUV
297,Q2,Audi,Front,SUV
298,A3,Audi,Front,Sedan
299,Q5,Audi,AWD,Wagon
300,E-Tron,Audi,AWD,Sedan
301,A5,Audi,Other,Coupe
302,Q7,Audi,AWD,SUV
303,A1,Audi,Front,Hatchback
304,A4,Audi,Front,Sedan
305,Q7,Audi,AWD,SUV
306,A5,Audi,Front,Hatchback
307,Q3,Audi,Front,SUV
308,A5,Audi,AWD,Coupe
309,A4,Audi,Front,
310,Q3,Audi,AWD,SUV
311,Q5,Audi,AWD,SUV
312,RS,Audi,AWD,Hatchback
313,A1,Audi,Front,Hatchback
314,A4,Audi,AWD,Sedan
315,Q3,Audi,AWD,SUV
316,Q2,Audi,AWD,SUV
317,Q7,Audi,AWD,SUV
318,Q3,Audi,AWD,SUV
319,A5,Audi,AWD,Other
320,Q2,Audi,Front,SUV
321,A1,Audi,Front,Hatchback
322,Q5,Audi,AWD,SUV
323,A3,Audi,Front,Sedan
324,Q5,Audi,AWD,SUV
325,Q5,Audi,AWD,SUV
326,A4,Audi,AWD,Sedan
327,RS6,Audi,AWD,Wagon
328,Q5,Audi,AWD,SUV
329,A3,Audi,Front,Convertible
330,Q7,Audi,AWD,SUV
331,A3,Audi,Front,Sedan
332,S5,Audi,Other,Hatchback
333,Q2,Audi,AWD,SUV
334,Q7,Audi,AWD,SUV
335,S4,Audi,AWD,Sedan
336,S3,Audi,AWD,Hatchback
337,TT,Audi,AWD,Coupe
338,SQ5,Audi,AWD,SUV
339,A4,Audi,Front,Sedan
340,RS,Audi,AWD,Sedan
341,SQ5,Audi,AWD,SUV
342,Q2,Audi,Front,SUV
343,Q5,Audi,AWD,SUV
344,Q5,Audi,AWD,SUV
345,A1,Audi,Front,Hatchback
346,Q5,Audi,AWD,SUV
347,Q3,Audi,Front,SUV
348,Q5,Audi,AWD,SUV
349,Q3,Audi,AWD,SUV
350,A3,Audi,Front,Hatchback
351,SQ8,Audi,AWD,SUV
352,A3,Audi,Front,Hatchback
353,E-Tron,Audi,AWD,Sedan
354,A4,Audi,Front,Sedan
355,A4,Audi,Front,Sedan
356,Q2,Audi,Front,SUV
357,A1,Audi,Front,Hatchback
358,Q2,Audi,Front,SUV
359,TT,Audi,AWD,Coupe
360,Q5,Audi,AWD,SUV
361,Q5,Audi,AWD,SUV
362,A4,Audi,Front,Wagon
363,Q5,Audi,AWD,SUV
364,Q5,Audi,AWD,SUV
365,Q5,Audi,AWD,SUV
366,Q5,Audi,AWD,SUV
367,Q5,Audi,AWD,SUV
368,Q5,Audi,AWD,SUV
369,A6,Audi,AWD,Sedan
370,A3,Audi,Front,Other
371,A3,Audi,Front,Sedan
372,S3,Audi,AWD,Hatchback
373,Q3,Audi,Front,SUV
374,Q2,Audi,Front,SUV
375,Q3,Audi,AWD,SUV
376,Q3,Audi,AWD,SUV
377,A3,Audi,Front,Hatchback
378,A4,Audi,AWD,Sedan
379,Q7,Audi,AWD,SUV
380,S5,Audi,AWD,Hatchback
381,Q7,Audi,AWD,SUV
382,Q5,Audi,AWD,SUV
383,A1,Audi,Front,Hatchback
384,Q2,Audi,Front,SUV
385,SQ5,Audi,AWD,SUV
386,Q3,Audi,Front,SUV
387,S4,Audi,AWD,Sedan
388,S3,Audi,AWD,Sedan
389,Q3,Audi,Front,SUV
390,A3,Audi,Front,Convertible
391,A3,Audi,AWD,Hatchback
392,A4,Audi,AWD,Wagon
393,Q8,Audi,AWD,SUV
394,A3,Audi,Front,Sedan
395,A7,Audi,AWD,Other
396,A1,Audi,Front,Hatchback
397,A3,Audi,Front,Other
398,Q5,Audi,AWD,SUV
399,Q5,Audi,Other,Wagon
400,Q7,Audi,AWD,SUV
401,Q7,Audi,AWD,SUV
402,Q3,Audi,Front,SUV
403,A1,Audi,Front,Hatchback
404,SQ5,Audi,AWD,SUV
405,A3,Audi,Front,Convertible
406,A4,Audi,Other,
407,A3,Audi,AWD,Sedan
408,Q3,Audi,AWD,SUV
409,Q5,Audi,AWD,SUV
410,A3,Audi,Front,Sedan
411,TT,Audi,AWD,Coupe
412,A6,Audi,AWD,Sedan
413,Q5,Audi,AWD,SUV
414,A4,Audi,Front,Sedan
415,Q5,Audi,AWD,SUV
416,E-Tron,Audi,AWD,Sedan
417,Q5,Audi,AWD,SUV
418,R8,Audi,AWD,Coupe
