,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
11996,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate LUX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,22,Grey / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46685
11997,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate LUX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,22,White / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46685
11998,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate LUX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,22,Black / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46685
11999,Ssangyong,2023,Musso,2023 Ssangyong Musso XLV Ultimate LUX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,10,Red / Black,"Elsternwick, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46980
12000,Ssangyong,2022,Musso,2022 Ssangyong Musso Ultimate,DEMO,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,10,Red / Black,"Springwood, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,43685
12001,Ssangyong,2023,Musso,2023 Ssangyong Musso ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,30,Grey / Black,"Elsternwick, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,39800
12002,Ssangyong,2022,Rexton,2022 Ssangyong Rexton Ultimate (awd),NEW,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,22,Silver / Black,"Frankston, VIC",4 cyl,SUV, 4 Doors, 7 Seats,56990
12003,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Black Edition,NEW,Automatic,-,Other,Diesel,-,5,White / Black,"Bundoora, VIC",-,SUV,,,58585
12004,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Ultimate (awd),NEW,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,10,Silver / Black,"Elsternwick, VIC",4 cyl,SUV, 4 Doors, 7 Seats,56580
12005,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,22,Blue / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,43685
12006,Ssangyong,2023,Musso,2023 Ssangyong Musso XLV Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,22,White / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,45185
12007,Ssangyong,2023,Musso,2023 Ssangyong Musso XLV Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,10,Blue / Black,"Elsternwick, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,44276
12008,Ssangyong,2022,Musso,2022 Ssangyong Musso XLV ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,22,Blue / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,40585
12009,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,22,White / Black,"Frankston, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46685
12010,Ssangyong,2021,Korando,2021 Ssangyong Korando Ultimate,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.7 L / 100 km,13313,Blue / -,"Frankston, VIC",4 cyl,SUV, 5 Doors, 5 Seats,32370
12011,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,- / -,7 years / Unlimited km,,4 cyl,Ute / Tray, 4 Doors, 5 Seats,43090
12012,Ssangyong,2022,Rexton,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,5595,White / Black,"Caringbah, NSW",4 cyl,SUV, 4 Doors, 7 Seats,51990
12013,Ssangyong,2023,Korando,2023 Ssangyong Korando ELX,NEW,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.7 L / 100 km,5,Blue / -,"Rutherford, NSW",4 cyl,SUV, 5 Doors, 5 Seats,33585
12014,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,4,Grey / Black,"Christies Beach, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,43660
12015,Ssangyong,2023,Musso,2023 Ssangyong Musso ELX,NEW,Automatic,-,Other,Diesel,-,5,Grey / Black,"Bundoora, VIC",-,Ute / Tray,,,39385
12016,Ssangyong,2021,Korando,2021 Ssangyong Korando EX,DEMO,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.7 L / 100 km,1548,White / Black,"Derwent Park, TAS",4 cyl,SUV, 5 Doors, 5 Seats,29990
12017,Ssangyong,2023,Korando,2023 Ssangyong Korando Ultimate,NEW,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.7 L / 100 km,5,Grey / Black,"Christies Beach, SA",4 cyl,SUV, 5 Doors, 5 Seats,38485
